,CreationDateDay,Key
1248,2015-08-04,1
1249,2015-08-05,1
1250,2015-08-06,1
1251,2015-08-09,1
1252,2015-08-19,3
1253,2015-08-20,2
1254,2015-08-25,2
1255,2015-08-27,1
1256,2015-08-30,1
1257,2015-09-03,1
1258,2015-09-08,2
1259,2015-09-09,2
1260,2015-09-10,1
1261,2015-09-14,1
1262,2015-09-15,2
1263,2015-09-16,2
1264,2015-09-17,1
1265,2015-09-22,2
1266,2015-09-24,2
1267,2015-09-25,3
1268,2015-09-28,1
1269,2015-10-05,1
1270,2015-10-06,1
1271,2015-10-07,1
1272,2015-10-08,2
1273,2015-10-09,2
1274,2015-10-12,1
1275,2015-10-13,1
1276,2015-10-14,1
1277,2015-10-15,1
1278,2015-10-16,1
1279,2015-10-17,2
1280,2015-10-19,1
1281,2015-10-20,1
1282,2015-10-22,3
1283,2015-10-23,2
1284,2015-10-26,2
1285,2015-10-27,1
1286,2015-10-29,3
1287,2015-10-30,2
1288,2015-11-01,1
1289,2015-11-02,1
1290,2015-11-04,1
1291,2015-11-11,1
1292,2015-11-12,2
1293,2015-11-13,3
1294,2015-11-16,1
1295,2015-11-20,1
1296,2015-11-21,1
1297,2015-11-25,1
1298,2015-11-26,2
1299,2015-11-28,1
1300,2015-11-29,1
1301,2015-12-01,2
1302,2015-12-03,1
1303,2015-12-04,1
1304,2015-12-07,1
1305,2015-12-09,1
1306,2015-12-10,2
1307,2015-12-11,1
1308,2015-12-15,2
1309,2015-12-16,1
1310,2015-12-17,2
1311,2015-12-21,2
1312,2015-12-22,1
1313,2015-12-23,1
1314,2015-12-30,2
1315,2016-01-02,1
1316,2016-01-05,1
1317,2016-01-06,1
1318,2016-01-08,1
1319,2016-01-12,3
1320,2016-01-13,1
1321,2016-01-20,1
1322,2016-01-24,1
1323,2016-01-25,2
1324,2016-01-28,2
1325,2016-02-01,2
1326,2016-02-02,3
1327,2016-02-04,1
1328,2016-02-05,1
1329,2016-02-08,1
1330,2016-02-09,1
1331,2016-02-12,1
1332,2016-02-13,1
1333,2016-02-16,2
1334,2016-02-17,2
1335,2016-02-18,1
1336,2016-02-22,1
1337,2016-02-23,1
1338,2016-02-24,2
1339,2016-02-29,1
1340,2016-03-01,1
1341,2016-03-02,3
1342,2016-03-03,2
1343,2016-03-04,1
1344,2016-03-07,2
1345,2016-03-08,1
1346,2016-03-09,3
1347,2016-03-10,1
1348,2016-03-11,1
1349,2016-03-14,1
1350,2016-03-15,2
1351,2016-03-16,1
1352,2016-03-21,4
1353,2016-03-22,2
1354,2016-03-27,3
1355,2016-03-30,4
1356,2016-03-31,1
1357,2016-04-01,2
1358,2016-04-04,3
1359,2016-04-05,2
1360,2016-04-06,1
1361,2016-04-07,2
1362,2016-04-08,2
1363,2016-04-10,1
1364,2016-04-11,3
1365,2016-04-12,1
1366,2016-04-13,2
1367,2016-04-17,1
1368,2016-04-18,1
1369,2016-04-19,2
1370,2016-04-20,2
1371,2016-04-21,2
1372,2016-04-22,1
1373,2016-04-23,1
1374,2016-04-25,1
1375,2016-04-27,3
1376,2016-04-28,1
1377,2016-04-29,2
1378,2016-05-02,3
1379,2016-05-03,1
1380,2016-05-06,2
1381,2016-05-07,1
1382,2016-05-12,1
1383,2016-05-13,1
1384,2016-05-16,1
1385,2016-05-17,2
1386,2016-05-20,1
1387,2016-05-21,1
1388,2016-05-22,1
1389,2016-05-23,1
1390,2016-05-24,1
1391,2016-05-26,1
1392,2016-06-01,1
1393,2016-06-02,2
1394,2016-06-03,5
1395,2016-06-07,1
1396,2016-06-09,4
1397,2016-06-10,2
1398,2016-06-11,1
1399,2016-06-12,1
1400,2016-06-15,1
1401,2016-06-16,2
1402,2016-06-17,1
1403,2016-06-21,1
1404,2016-06-23,1
1405,2016-06-25,1
1406,2016-06-27,2
1407,2016-06-29,1
1408,2016-06-30,2
1409,2016-07-01,2
1410,2016-07-02,1
1411,2016-07-04,2
1412,2016-07-06,1
1413,2016-07-11,1
1414,2016-07-13,3
1415,2016-07-14,3
1416,2016-07-15,2
1417,2016-07-16,1
1418,2016-07-19,1
1419,2016-07-20,2
1420,2016-07-21,1
1421,2016-07-22,1
1422,2016-07-25,3
1423,2016-07-26,2
1424,2016-07-27,1
1425,2016-07-28,1
1426,2016-07-29,2
1427,2016-08-01,1
1428,2016-08-02,1
1429,2016-08-04,1
1430,2016-08-07,1
1431,2016-08-09,1
1432,2016-08-10,2
1433,2016-08-11,1
1434,2016-08-12,1
1435,2016-08-13,1
1436,2016-08-18,1
1437,2016-08-19,1
1438,2016-08-25,1
1439,2016-08-26,2
1440,2016-08-31,1
1441,2016-09-01,1
1442,2016-09-05,1
1443,2016-09-06,1
1444,2016-09-07,1
1445,2016-09-09,1
1446,2016-09-12,1
1447,2016-09-15,1
1448,2016-09-16,1
1449,2016-09-22,1
1450,2016-09-23,2
1451,2016-09-26,1
1452,2016-09-30,1
1453,2016-10-04,3
1454,2016-10-07,1
1455,2016-10-10,1
1456,2016-10-11,2
1457,2016-10-12,2
1458,2016-10-13,2
1459,2016-10-17,1
1460,2016-10-18,1
1461,2016-10-19,1
1462,2016-10-20,1
1463,2016-10-21,1
1464,2016-10-22,1
1465,2016-10-24,1
1466,2016-10-25,2
1467,2016-10-30,1
1468,2016-11-01,4
1469,2016-11-03,3
1470,2016-11-07,1
1471,2016-11-08,3
1472,2016-11-09,1
1473,2016-11-10,2
1474,2016-11-14,1
1475,2016-11-15,2
1476,2016-11-17,2
1477,2016-11-21,2
1478,2016-11-22,3
1479,2016-11-23,2
1480,2016-11-25,1
1481,2016-11-26,1
1482,2016-11-28,2
1483,2016-11-30,1
1484,2016-12-04,1
1485,2016-12-06,1
1486,2016-12-07,2
1487,2016-12-08,3
1488,2016-12-09,2
1489,2016-12-14,2
1490,2016-12-15,2
1491,2016-12-18,1
1492,2016-12-20,1
1493,2016-12-21,1
1494,2016-12-22,3
1495,2016-12-23,1
1496,2016-12-29,1
1497,2016-12-30,1
1498,2017-01-04,1
1499,2017-01-05,1
1500,2017-01-10,3
1501,2017-01-11,1
1502,2017-01-13,2
1503,2017-01-14,1
1504,2017-01-16,2
1505,2017-01-17,4
1506,2017-01-19,1
1507,2017-01-20,2
1508,2017-01-22,1
1509,2017-01-23,1
1510,2017-01-24,1
1511,2017-01-25,1
1512,2017-01-27,1
1513,2017-01-30,1
1514,2017-01-31,1
1515,2017-02-03,2
1516,2017-02-04,2
1517,2017-02-07,1
1518,2017-02-10,1
1519,2017-02-13,2
1520,2017-02-15,1
1521,2017-02-16,2
1522,2017-02-17,2
1523,2017-02-21,1
1524,2017-02-22,1
1525,2017-02-23,1
1526,2017-02-24,1
1527,2017-02-28,2
1528,2017-03-01,2
1529,2017-03-02,2
1530,2017-03-03,1
1531,2017-03-04,2
1532,2017-03-06,4
1533,2017-03-08,3
1534,2017-03-10,3
1535,2017-03-13,4
1536,2017-03-14,2
1537,2017-03-15,2
1538,2017-03-16,2
1539,2017-03-22,4
1540,2017-03-23,1
1541,2017-03-24,2
1542,2017-03-27,1
1543,2017-03-28,1
1544,2017-03-29,1
1545,2017-03-30,1
1546,2017-03-31,1
1547,2017-04-02,1
1548,2017-04-04,1
1549,2017-04-05,4
1550,2017-04-10,1
1551,2017-04-12,2
1552,2017-04-19,1
1553,2017-04-20,2
1554,2017-04-25,1
1555,2017-04-26,2
1556,2017-04-27,4
1557,2017-05-01,1
1558,2017-05-03,1
1559,2017-05-04,1
1560,2017-05-05,2
1561,2017-05-08,1
1562,2017-05-09,1
1563,2017-05-11,1
1564,2017-05-12,2
1565,2017-05-13,2
1566,2017-05-14,1
1567,2017-05-15,2
1568,2017-05-16,4
1569,2017-05-17,2
1570,2017-05-18,2
1571,2017-05-21,1
1572,2017-05-24,2
1573,2017-05-28,1
1574,2017-05-30,1
1575,2017-06-06,1
1576,2017-06-07,1
1577,2017-06-08,1
1578,2017-06-09,3
1579,2017-06-13,1
1580,2017-06-14,1
1581,2017-06-15,1
1582,2017-06-19,2
1583,2017-06-20,2
1584,2017-06-21,1
1585,2017-06-23,2
1586,2017-06-26,3
1587,2017-06-27,5
1588,2017-06-28,3
1589,2017-06-29,2
1590,2017-06-30,1
1591,2017-07-01,1
1592,2017-07-04,2
1593,2017-07-06,2
1594,2017-07-07,1
1595,2017-07-09,1
1596,2017-07-10,1
1597,2017-07-11,1
1598,2017-07-12,2
1599,2017-07-16,1
1600,2017-07-17,1
1601,2017-07-19,1
1602,2017-07-20,1
1603,2017-07-21,3
1604,2017-07-23,1
1605,2017-07-24,1
1606,2017-07-25,3
1607,2017-07-26,1
1608,2017-07-27,4
1609,2017-08-01,1
1610,2017-08-02,2
1611,2017-08-03,4
1612,2017-08-04,3
1613,2017-08-07,2
1614,2017-08-08,2
1615,2017-08-10,1
1616,2017-08-11,1
1617,2017-08-14,1
1618,2017-08-15,2
1619,2017-08-16,1
1620,2017-08-19,1
1621,2017-08-22,2
1622,2017-08-23,2
1623,2017-08-25,2
1624,2017-08-28,3
1625,2017-08-29,3
1626,2017-09-01,2
1627,2017-09-03,1
1628,2017-09-05,1
1629,2017-09-06,1
1630,2017-09-07,2
1631,2017-09-08,1
1632,2017-09-11,2
1633,2017-09-12,1
1634,2017-09-19,2
1635,2017-09-20,2
1636,2017-09-21,2
1637,2017-09-22,1
1638,2017-09-23,1
1639,2017-09-25,1
1640,2017-09-26,3
1641,2017-09-27,1
1642,2017-09-29,2
1643,2017-10-02,1
1644,2017-10-03,1
1645,2017-10-04,1
1646,2017-10-05,2
1647,2017-10-09,1
1648,2017-10-11,2
1649,2017-10-12,4
1650,2017-10-13,1
1651,2017-10-14,2
1652,2017-10-16,1
1653,2017-10-17,4
1654,2017-10-18,1
1655,2017-10-19,1
1656,2017-10-20,1
1657,2017-10-23,2
1658,2017-10-25,1
1659,2017-10-26,3
1660,2017-10-27,2
1661,2017-10-28,3
1662,2017-10-30,1
1663,2017-11-01,2
1664,2017-11-02,3
1665,2017-11-03,3
1666,2017-11-07,1
1667,2017-11-09,2
1668,2017-11-15,1
1669,2017-11-20,2
1670,2017-11-21,1
1671,2017-11-23,2
1672,2017-11-24,2
1673,2017-12-01,1
1674,2017-12-02,1
1675,2017-12-04,2
1676,2017-12-05,1
1677,2017-12-06,1
1678,2017-12-07,1
1679,2017-12-11,2
1680,2017-12-14,1
1681,2017-12-15,2
1682,2017-12-16,1
1683,2017-12-19,1
1684,2017-12-20,4
1685,2017-12-27,2
1686,2017-12-28,1
1687,2018-01-02,1
1688,2018-01-03,1
1689,2018-01-04,1
1690,2018-01-09,1
1691,2018-01-10,1
1692,2018-01-12,1
1693,2018-01-17,1
1694,2018-01-18,1
1695,2018-01-22,1
1696,2018-01-23,1
1697,2018-01-25,1
1698,2018-01-26,2
1699,2018-01-29,1
1700,2018-02-02,1
1701,2018-02-05,2
1702,2018-02-07,1
1703,2018-02-08,3
1704,2018-02-09,1
1705,2018-02-10,1
1706,2018-02-11,1
1707,2018-02-12,2
1708,2018-02-13,1
1709,2018-02-19,2
1710,2018-02-21,2
1711,2018-02-22,1
1712,2018-02-23,3
1713,2018-02-25,1
1714,2018-03-03,1
1715,2018-03-06,1
1716,2018-03-07,2
1717,2018-03-08,1
1718,2018-03-10,1
1719,2018-03-12,2
1720,2018-03-16,2
1721,2018-03-19,3
1722,2018-03-20,1
1723,2018-03-22,1
1724,2018-03-23,1
1725,2018-03-26,1
1726,2018-03-27,1
1727,2018-03-28,1
1728,2018-03-29,1
1729,2018-04-04,3
1730,2018-04-05,1
1731,2018-04-11,1
1732,2018-04-12,2
1733,2018-04-13,1
1734,2018-04-16,2
1735,2018-04-17,1
1736,2018-04-19,1
1737,2018-04-23,1
1738,2018-05-01,1
1739,2018-05-03,1
1740,2018-05-04,1
1741,2018-05-06,1
1742,2018-05-07,1
1743,2018-05-09,3
1744,2018-05-11,1
1745,2018-05-14,1
1746,2018-05-23,1
1747,2018-05-24,2
1748,2018-05-27,2
1749,2018-05-31,3
1750,2018-06-04,1
1751,2018-06-08,3
1752,2018-06-09,1
1753,2018-06-11,2
1754,2018-06-12,2
1755,2018-06-14,1
1756,2018-06-15,1
1757,2018-06-19,2
1758,2018-06-24,1
1759,2018-06-27,2
1760,2018-06-28,1
1761,2018-06-29,2
1762,2018-07-01,1
1763,2018-07-02,1
1764,2018-07-04,2
1765,2018-07-05,1
1766,2018-07-09,1
1767,2018-07-11,2
1768,2018-07-12,1
1769,2018-07-16,2
1770,2018-07-17,1
1771,2018-07-24,2
1772,2018-07-26,2
1773,2018-07-31,1
1774,2018-08-01,1
1775,2018-08-03,1
1776,2018-08-07,1
1777,2018-08-09,1
1778,2018-08-10,1
1779,2018-08-11,1
1780,2018-08-13,1
1781,2018-08-14,1
1782,2018-08-15,2
1783,2018-08-17,2
1784,2018-08-20,1
1785,2018-08-21,2
1786,2018-08-22,1
1787,2018-08-27,1
1788,2018-08-28,1
1789,2018-08-29,1
1790,2018-09-03,1
1791,2018-09-04,2
1792,2018-09-05,3
1793,2018-09-06,2
1794,2018-09-07,2
1795,2018-09-12,1
1796,2018-09-13,1
1797,2018-09-14,1
1798,2018-09-18,1
1799,2018-09-21,2
1800,2018-09-24,3
1801,2018-09-25,1
1802,2018-09-26,1
1803,2018-09-27,1
1804,2018-09-28,1
1805,2018-09-30,1
1806,2018-10-01,1
1807,2018-10-02,1
1808,2018-10-03,2
1809,2018-10-05,1
1810,2018-10-08,1
1811,2018-10-09,1
1812,2018-10-10,1
1813,2018-10-11,1
1814,2018-10-14,1
1815,2018-10-15,1
1816,2018-10-16,1
1817,2018-10-18,1
1818,2018-10-20,1
1819,2018-10-22,1
1820,2018-10-24,1
1821,2018-10-25,2
1822,2018-10-26,1
1823,2018-10-31,1
1824,2018-11-02,2
1825,2018-11-07,1
1826,2018-11-09,1
1827,2018-11-11,1
1828,2018-11-12,1
1829,2018-11-13,1
1830,2018-11-15,1
1831,2018-11-16,1
1832,2018-11-19,1
1833,2018-11-21,1
1834,2018-11-22,2
1835,2018-11-26,1
1836,2018-11-30,1
1837,2018-12-03,2
1838,2018-12-07,1
1839,2018-12-09,1
1840,2018-12-11,1
1841,2018-12-12,1
1842,2018-12-14,3
1843,2018-12-15,1
1844,2018-12-18,1
1845,2018-12-19,2
1846,2018-12-20,2
1847,2018-12-21,1
